epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,463.843,0.57111,0.68667,1.01012,0.84802,0.88895,0.92348,0.73844,0.74322,0.80308,1.15021,0.0010025,0.0010025,0.0010025
62,469.554,0.57138,0.66241,1.02576,0.96054,1,0.995,0.8625,0.50945,0.5566,0.99513,0.000998375,0.000998375,0.000998375
63,478.7,0.54684,0.59633,1.00858,0.97917,0.99618,0.995,0.90468,0.50702,0.43443,0.99408,0.00099425,0.00099425,0.00099425
64,484.999,0.5288,0.67354,0.996,0.96949,0.93055,0.96625,0.82461,0.61438,0.62295,1.07535,0.000990125,0.000990125,0.000990125
65,492.776,0.54215,0.62197,0.9897,0.97615,0.99283,0.995,0.86962,0.5195,0.47025,1.00596,0.000986,0.000986,0.000986
66,498.942,0.51532,0.62127,0.99434,0.98564,1,0.995,0.93287,0.45755,0.43555,0.9449,0.000981875,0.000981875,0.000981875
67,505.977,0.54819,0.66421,0.98007,0.9665,0.98567,0.995,0.86109,0.52276,0.48971,0.94594,0.00097775,0.00097775,0.00097775
68,513.2,0.53167,0.65726,0.98603,0.97913,1,0.995,0.88456,0.51922,0.47572,0.96282,0.000973625,0.000973625,0.000973625
69,520.257,0.51096,0.57309,0.97507,0.98438,1,0.995,0.87641,0.49915,0.44199,0.94312,0.0009695,0.0009695,0.0009695
70,526.36,0.4914,0.62409,0.95817,0.97864,1,0.995,0.9021,0.50207,0.42591,0.93382,0.000965375,0.000965375,0.000965375
71,533.445,0.54303,0.62378,0.99316,0.98572,1,0.995,0.90778,0.45295,0.43865,0.91481,0.00096125,0.00096125,0.00096125
72,540.073,0.47974,0.56167,0.93668,0.91557,1,0.98607,0.89041,0.50626,0.51699,0.93788,0.000957125,0.000957125,0.000957125
73,547.641,0.49743,0.54885,0.95588,0.94693,0.95441,0.995,0.89327,0.51262,0.46871,0.94042,0.000953,0.000953,0.000953
74,554.905,0.51642,0.54936,0.99405,0.95302,1,0.995,0.9068,0.43955,0.43455,0.91121,0.000948875,0.000948875,0.000948875
75,562.319,0.50634,0.58441,0.9811,0.98567,0.99588,0.995,0.91381,0.47404,0.48002,0.94992,0.00094475,0.00094475,0.00094475
76,570.902,0.5157,0.59724,0.96308,0.97802,0.99583,0.995,0.89293,0.54547,0.48187,0.98369,0.000940625,0.000940625,0.000940625
77,577.919,0.49,0.60844,0.94769,0.93868,1,0.995,0.88012,0.50247,0.48023,0.94968,0.0009365,0.0009365,0.0009365
78,586.332,0.53053,0.55708,1.00539,0.95265,1,0.995,0.88383,0.51686,0.50984,0.96383,0.000932375,0.000932375,0.000932375
79,593.169,0.53288,0.61546,1.00715,0.96242,1,0.995,0.90414,0.50181,0.49707,0.95256,0.00092825,0.00092825,0.00092825
80,600.232,0.53422,0.55688,0.98044,0.91596,0.92308,0.95213,0.85741,0.53645,0.63016,1.00253,0.000924125,0.000924125,0.000924125
81,606.633,0.51641,0.53365,0.96661,0.91941,0.96875,0.96569,0.87973,0.46685,0.49023,0.91064,0.00092,0.00092,0.00092
82,614.829,0.48987,0.56716,0.97236,0.98728,1,0.995,0.90191,0.51213,0.43099,0.92559,0.000915875,0.000915875,0.000915875
83,620.926,0.54622,0.58714,1.00235,0.92083,0.99692,0.995,0.91137,0.47844,0.47833,0.92963,0.00091175,0.00091175,0.00091175
84,628.163,0.48552,0.53866,0.97892,0.99001,0.99609,0.995,0.92088,0.445,0.45152,0.92153,0.000907625,0.000907625,0.000907625
85,633.955,0.51454,0.60993,1.00046,0.97999,0.97999,0.995,0.87921,0.5096,0.53786,1.01009,0.0009035,0.0009035,0.0009035
86,641.676,0.48156,0.56473,0.96688,0.97014,0.92308,0.96875,0.87898,0.43117,0.53863,0.94712,0.000899375,0.000899375,0.000899375
