epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,1987.18,0.58983,0.42691,0.85276,0.98326,0.99369,0.995,0.87342,0.55852,0.37263,0.85989,0.000638047,0.000638047,0.000638047
131,2002.47,0.60173,0.43492,0.86101,0.95048,1,0.99336,0.8587,0.59753,0.39414,0.86513,0.000634381,0.000634381,0.000634381
132,2018.35,0.60785,0.45473,0.87382,0.99282,0.96781,0.99402,0.87921,0.5692,0.36984,0.86267,0.000630715,0.000630715,0.000630715
133,2033.45,0.57119,0.42781,0.84822,0.98832,0.9615,0.99053,0.86872,0.57052,0.39016,0.86493,0.000627048,0.000627048,0.000627048
134,2050.34,0.61941,0.43974,0.85965,0.99138,0.96112,0.99449,0.8299,0.69151,0.41177,0.89874,0.000623382,0.000623382,0.000623382
135,2065.55,0.58456,0.42599,0.84865,0.99116,0.98919,0.99271,0.84025,0.62149,0.37999,0.87308,0.000619716,0.000619716,0.000619716
136,2081.37,0.59355,0.41661,0.85577,0.98251,0.98919,0.99007,0.86645,0.56904,0.37325,0.86239,0.000616049,0.000616049,0.000616049
137,2097.77,0.59607,0.44113,0.85485,0.9904,0.98919,0.99185,0.89108,0.53461,0.35763,0.8493,0.000612383,0.000612383,0.000612383
138,2113.71,0.57127,0.41777,0.86109,0.98679,0.98919,0.9936,0.8862,0.54291,0.36513,0.85441,0.000608717,0.000608717,0.000608717
139,2128.94,0.58636,0.43978,0.86713,0.99286,0.96757,0.98524,0.87698,0.54007,0.36196,0.85242,0.000605051,0.000605051,0.000605051
140,2144.25,0.59264,0.42462,0.8657,0.98364,0.98919,0.99341,0.87865,0.55431,0.36023,0.85741,0.000601384,0.000601384,0.000601384
141,2159.76,0.57093,0.40653,0.84677,0.9907,0.98919,0.99341,0.87966,0.55619,0.34646,0.85099,0.000597718,0.000597718,0.000597718
142,2176.58,0.55523,0.3987,0.85697,0.98719,0.99021,0.995,0.87869,0.53248,0.34226,0.84809,0.000594052,0.000594052,0.000594052
143,2191.56,0.58444,0.42229,0.85241,0.9886,0.99004,0.995,0.89332,0.50582,0.34523,0.84422,0.000590385,0.000590385,0.000590385
144,2207.39,0.58326,0.42119,0.86016,0.98903,0.98919,0.99402,0.88921,0.52359,0.34034,0.85388,0.000586719,0.000586719,0.000586719
145,2223.51,0.54304,0.38699,0.85934,0.98456,0.98919,0.9936,0.87673,0.51797,0.33579,0.85107,0.000583053,0.000583053,0.000583053
146,2239.72,0.56952,0.4119,0.86311,0.98798,0.98919,0.99402,0.89143,0.507,0.33842,0.84739,0.000579386,0.000579386,0.000579386
147,2255.34,0.5614,0.40308,0.8544,0.99032,0.97267,0.99402,0.893,0.50926,0.34768,0.84861,0.00057572,0.00057572,0.00057572
148,2271.19,0.55599,0.40707,0.84921,0.98518,1,0.995,0.89516,0.50022,0.34296,0.84699,0.000572054,0.000572054,0.000572054
149,2285.99,0.55993,0.40941,0.84226,0.98875,0.98919,0.99322,0.89213,0.51799,0.34111,0.84998,0.000568388,0.000568388,0.000568388
150,2301.29,0.5658,0.39524,0.85391,0.98888,0.99441,0.995,0.87714,0.54249,0.33843,0.8511,0.000564721,0.000564721,0.000564721
151,2316.58,0.55196,0.41543,0.84947,0.98789,1,0.995,0.87585,0.55634,0.33547,0.8573,0.000561055,0.000561055,0.000561055
152,2332.85,0.56198,0.40062,0.84269,0.99359,0.98996,0.995,0.88158,0.53263,0.34638,0.85419,0.000557389,0.000557389,0.000557389
153,2347.51,0.5269,0.3878,0.83442,0.99216,0.98993,0.995,0.88413,0.52925,0.32497,0.851,0.000553722,0.000553722,0.000553722
154,2363.49,0.53901,0.40794,0.83923,0.98965,0.99013,0.995,0.88637,0.52729,0.33589,0.84871,0.000550056,0.000550056,0.000550056
155,2379.81,0.54177,0.39267,0.84571,0.99143,0.98977,0.995,0.88515,0.52004,0.3601,0.84609,0.00054639,0.00054639,0.00054639
156,2395.28,0.53183,0.40494,0.83949,0.99425,0.99003,0.995,0.90873,0.50936,0.33081,0.84742,0.000542723,0.000542723,0.000542723
157,2411.46,0.53489,0.39523,0.84267,0.99131,0.98919,0.98794,0.88767,0.50873,0.34409,0.85015,0.000539057,0.000539057,0.000539057
158,2427.04,0.54733,0.39563,0.84164,0.99166,0.98919,0.99107,0.90492,0.47789,0.33863,0.83822,0.000535391,0.000535391,0.000535391
159,2442.05,0.55965,0.40614,0.84849,0.99076,0.98919,0.99107,0.87953,0.55831,0.34135,0.85175,0.000531725,0.000531725,0.000531725
160,2457.15,0.53348,0.38325,0.83354,0.98852,0.98919,0.99402,0.89976,0.47497,0.31128,0.838,0.000528058,0.000528058,0.000528058
161,2473.85,0.54809,0.40188,0.84909,0.98266,0.98919,0.99097,0.90212,0.48106,0.32824,0.83989,0.000524392,0.000524392,0.000524392
162,2490.38,0.53041,0.37653,0.84165,0.98562,0.98919,0.99449,0.90859,0.4847,0.32051,0.84241,0.000520726,0.000520726,0.000520726
163,2505.84,0.52938,0.38971,0.84487,0.98531,0.9928,0.995,0.89759,0.48751,0.3312,0.84299,0.000517059,0.000517059,0.000517059
164,2520.8,0.54817,0.38658,0.84473,0.97994,0.99351,0.995,0.89074,0.47348,0.3302,0.84027,0.000513393,0.000513393,0.000513393
165,2538.14,0.5159,0.3716,0.84392,0.98798,0.99042,0.995,0.90899,0.47975,0.32956,0.83902,0.000509727,0.000509727,0.000509727
166,2553.67,0.51206,0.37879,0.8435,0.98853,0.99071,0.995,0.90436,0.465,0.32424,0.83335,0.00050606,0.00050606,0.00050606
